Restaurant,Section,Item,Description,Price
bel aire restaurant diner,cocktails must be 0 to purchase,mixed cocktail must be 0 to purchase,must be 0 to purchase choice of liquor and mixer must be 0 to purchase,$7.99 
bel aire restaurant diner,cocktails must be 0 to purchase,shots shots shots must be 0 to purchase,must be 0 to purchase choice of jose cuervo jameson absolut jack daniel s fire cinammon ouzo must be 0 to purchase,$3.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz wine cup must be 0 to purchase,must be 0 to purchase specify chardonnay red blend cabernet sauvignon pinot grigio white zinfandel must be 0 to purchase,$5.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz absolut lemonade must be 0 to purchase,must be 0 to purchase classic lemonade with a shot of absolut must be 0 to purchase,$4.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz peach sour must be 0 to purchase,must be 0 to purchase bushmill s whiskey muddled peach peach schnapps sour mix must be 0 to purchase,$7.99 
bel aire restaurant diner,cocktails must be 0 to purchase,boozy strawberry shortcake shake must be 0 to purchase,must be 0 to purchase strawberry and vanilla ice cream strawberry schnapps stoli vanilla,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,boozy creamsicle must be 0 to purchase,must be 0 to purchase vanilla ice cream stoli orange orange juice must be 0 to purchase,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,boozy black and white coffee shake must be 0 to purchase,must be 0 to purchase vanilla and chocolate ice cream kahlua licor 0 and coffee,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,boozy spiced rum apple pie shake must be 0 to purchase,must be 0 to purchase spiced rum slice of apple pie vanilla ice cream licor 0,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz mimosa must be 0 to purchase,must be 0 to purchase classic champagne and orange juice,$5.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz absolut bloody mary must be 0 to purchase,must be 0 to purchase homemade bloody mary mix absolut vodka,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz cuervo maragarita must be 0 to purchase,must be 0 to purchase jose cuervo sweetened lime juice triple sec over ice,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz johnny s red apple pie must be 0 to purchase,must be 0 to purchase johnny walker red licor 0 cinnamon whiskey apple juice,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz white linen must be 0 to purchase,must be 0 to purchase hendrick s gin sparkling water lime juice pinot grigio,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz whiskini must be 0 to purchase,must be 0 to purchase champagne flavored with peach schnapps and whiskey,$7.99 
